Ticker,Tag Along
TECN3,1.0
TCSA3,1.0
TGMA3,1.0
TEGA3,0.0
TEKA3,0.0
TEKA4,0.0
TKNO3,0.0
TKNO4,0.0
TELB3,0.0
TELB4,0.0
VIVT3,0.8
TEND3,1.0
LAND3,1.0
TXRX3,0.0
TXRX4,0.0
TIMS3,1.0
SHOW3,1.0
TOTS3,1.0
TFCO4,0.0
TRPL3,0.8
TRPL4,0.0
LUXM3,0.0
LUXM4,0.0
TRIS3,1.0
TPIS3,1.0
TUPY3,1.0
UGPA3,1.0
UCAS3,1.0
FIQE3,1.0
UNIP3,0.0
UNIP5,0.0
UNIP6,0.0
UPKP3,0.0
USIM3,0.8
USIM5,0.0
USIM6,0.0
VALE3,1.0
VLID3,1.0
VAMO3,1.0
VSTE3,1.0
VBBR3,1.0
VTRU3,0.0
VITT3,1.0
VIVA3,1.0
VVEO3,1.0
VIVR3,1.0
VULC3,1.0
LVTC3,1.0
WEGE3,1.0
WEST3,1.0
MWET3,0.0
MWET4,0.0
WHRL3,0.0
WHRL4,0.0
PORT3,1.0
WIZC3,1.0
WLMM3,0.0
WLMM4,0.0
YBRA3,0.0
YDUQ3,1.0
ZAMP3,1.0
